ActionAuditID~ActionAuditType~ActionBy~ActionTimeUTC~EntityID~EntityTypeID~HistoryToken
'1'~'Export Requested'~'580C4EC0-04C1-4496-B286-CFB127A2D988'~'2013-10-28 16:24:24'~'15'~'2'~'9395EE74-DE22-4D08-B00C-1599BE6D1CD4'
'105'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'65'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'106'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'66'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'107'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:22'~'67'~'2'~'0D581830-BCDD-41D8-B8E3-9B51CD1950AE'
'108'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'13'~'1'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'109'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'38'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'110'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'39'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'111'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'40'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'112'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'41'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'113'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'42'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'114'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'43'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'115'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'44'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'116'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'45'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'117'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'46'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'118'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'47'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'119'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'48'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
'120'~'Export Requested'~'29E494AF-E7BB-4EC0-BB8D-413A6C25123B'~'2013-10-30 21:34:49'~'49'~'2'~'969B11F7-310F-4DC1-9E07-0212FC57361C'
